Дата запуска ПЛАН;Дата запуска ФАКТ;Заказчик/Сортамент;Изделие;№ заказа;Партия;Остаточная потребность;Обеспеченность;Проблема;Дата закрытия дефицита с учетом поступлений;Примечание МТО;Примечание ПО
;;Круг 18 ГОСТ 2590-2006 09Г2С-12 ГОСТ 19281-2014;;;;44.03;;Изменение потребности (239.4->330.03);;;
;;Серьга СРС-7-16А ТУ34.13.10272-88;;;;114.0;;Не было в этом периоде;;;
2021-01-22;;СУРГУТНЕФТЕГАЗ ПАО;Фундамент Ф4.35-4-24/20 Проект: 3.407.9-146;022254;1.0;;0.9991656220620495;;;;
;;Швеллер 24 У ГОСТ 8240-89 С345-6 ГОСТ 27772-2015;;;;3.4080000000000155;;;;;
2021-01-22;2021-01-22 00:00:00;СТРАТЕГИЯ ООО СК;Балка Б35-4-20 Проект: 3.407.9-146;022435;1.0;;0.9884759041632505;;;;
;;Шпилька по чертежу М36х300.09Г2С-6.бп 3.407.9-146.3-05КМД;;;;34.408;;Не было в этом периоде;;;
2021-01-23;;СУРГУТНЕФТЕГАЗ ПАО;Фундамент Ф4.35-2-20/16 Проект: 3.407.9-146;022249;1.0;;0.8947852687569321;;;;
;;Швеллер 20 У ГОСТ 8240-89 С345-6 ГОСТ 27772-2015;;;;705.7719999999999;;;;;
2021-01-24;2021-01-24 00:00:00;СУРГУТНЕФТЕГАЗ ПАО;Прожекторная мачта ПМС-24,0 Проект: 3.407.9-172 с 3-мя промежуточными площадками ТС-1, ТС-2,;022430;1.0;;0.9857013760069417;;;;
;;Швеллер 14 У ГОСТ 8240-89 С345-6 ГОСТ 27772-2015;;;;75.933;;Не было в этом периоде;;;
2021-01-24;2021-01-24 00:00:00;СУРГУТНЕФТЕГАЗ ПАО;Прожекторная мачта ПМС-24,0 Проект: 3.407.9-172 с 3-мя промежуточными площадками ТС-1, ТС-2,;022429;1.0;;0.8272259346746935;;;;
;;Швеллер 12 У ГОСТ 8240-89 С345-5 ГОСТ 27772-2015;;;;835.638;;Не было в этом периоде;2021-02-14;;
;;Швеллер 14 У ГОСТ 8240-89 С345-5 ГОСТ 27772-2015;;;;75.933;;Не было в этом периоде;;;
2021-01-24;2021-01-24 00:00:00;СУРГУТНЕФТЕГАЗ ПАО;Прожекторная мачта ПМС-24,0 Проект: 3.407.9-172 с 3-мя промежуточными площадками ТС-1, ТС-2,;022256;1.0;;0.8281925797037641;;;;
;;Швеллер 12 У ГОСТ 8240-89 С345-6 ГОСТ 27772-2015;;;;835.638;;Изменение даты на позднюю (22.01.2021->24.01.2021);2021-02-14;;
;;Швеллер 14 У ГОСТ 8240-89 С345-6 ГОСТ 27772-2015;;;;75.933;;Изменение даты на позднюю (22.01.2021->24.01.2021);;;
2021-01-24;;СУРГУТНЕФТЕГАЗ ПАО;Молниеотвод МС-31,7 Проект: 3.407.9-172;022255;1.0;;0.9846773349266781;;;;
;;Уголок 35х35х4 ГОСТ 8509-93 С345-6 ГОСТ 27772-2015;;;;22.92;;Не было в этом периоде;;;
;;Уголок 50х50х4 ГОСТ 8509-93 С345-6 ГОСТ 27772-2015;;;;7.084;;Не было в этом периоде;2021-02-14;;
2021-01-24;;ТОМСКНЕФТЬ-СЕРВИС ООО;Анкерно-угловая опора У35-2т+5 Проект: 3078тм;022195;1.0;;0.9906544885093193;;2021-02-14;;
;;Уголок 50х50х4 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;64.834;;Не было в этом периоде;2021-02-14;;
2021-01-24;2021-01-25 00:00:00;ТОМСКНЕФТЬ-СЕРВИС ООО;"Анкерно-угловая опора У35-2т+5 с тросостойкой Р7 для крепления молниеотвода Проект: 3078тм ;";022193;1.0;;0.982979963582509;;;;
;;Труба 73х6 ГОСТ 8732-78 09Г2С-12 ГОСТ 19281-2014;;;;47.801;;Изменение даты на раннюю (28.01.2021->24.01.2021);;;
;;Уголок 50х50х4 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;72.385;;Не было в этом периоде;2021-02-14;;
2021-01-24;2021-01-25 00:00:00;ТОМСКНЕФТЬ-СЕРВИС ООО;"Анкерно-угловая опора У35-2т с тросостойкой Р7 для крепления молниеотвода Проект: 3078тм ; М";022194;1.0;;0.9860685982721482;;2021-02-14;;
;;Уголок 50х50х4 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;72.385;;Не было в этом периоде;2021-02-14;;
2021-01-24;;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;"Опора промежуточная П10Г-8М Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Фундамент ФС.273.2.L.S Проект:";021226;1.0;;0.9855778500411337;;2021-02-14;;
;;Лист 16 ГОСТ 19903-2015 09Г2С-12 ГОСТ 19281-2014;;;;783.0849999999963;;Не было в этом периоде;2021-02-14;;
2021-01-24;2021-01-23 00:00:00;СКН ООО;Анкерно-угловая опора У110-2 Проект: 3078тм 1683_1059ПЭ-37-Р-ВЛ110.7.000-КС-01-ОЛ-012;022126;1.0;;0.8873268359543696;;;;
;;Труба 73х6 ГОСТ 8732-78 09Г2С-12 ГОСТ 19281-2014;;;;46.635;;Изменение даты на раннюю (26.01.2021->24.01.2021);;;
;;Уголок 160х160х12 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;111.294;;Не было в этом периоде;;;
;;Уголок 160х160х16 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;949.8580000000001;;Не было в этом периоде;2021-02-14;;
2021-01-24;2021-01-24 00:00:00;ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ ООО;"Опора анкерная угловая АУ10ГИ-1 Проект: ОЭМЗ-ОГП-ТП.ВЛЗ.010.001 ; Фундамент ФС.325.1.L.S Про";021381;1.0;;0.9024515253901351;;;;
;;Труба 219х10 ГОСТ 8732-78 С345-5 ГОСТ 27772-2015;;;;755.9639999999999;;;;;
2021-01-24;;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;"Опора анкерная (концевая) АО10Г-8УМ Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.002 ; Установка разъединителя";021816;1.0;;0.9430578419867555;;;;
;;Труба 530х8 ГОСТ 10704-91 С345-6 ГОСТ 27772-2015;;;;219.71200000000002;;Изменение даты на раннюю (25.01.2021->24.01.2021);;;
2021-01-24;;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;"Опора анкерная (концевая) АО10Г-1УМ Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Установка разъединителя";021815;1.0;;0.9412704708780949;;;;
;;Труба 530х8 ГОСТ 10704-91 С345-6 ГОСТ 27772-2015;;;;219.71200000000002;;Изменение даты на раннюю (25.01.2021->24.01.2021);;;
;;Шпилька по чертежу ШКМ-1 М12х100.09Г2С-12.бп ШКМ-01-КМД;;;;7.12;;Не было в этом периоде;;;
2021-01-24;;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;"Опора анкерная (концевая) АО10Г-1УМ Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Установка разъединителя";021813;1.0;;0.9981565464866158;;;;
;;Шпилька по чертежу ШКМ-1 М12х100.09Г2С-12.бп ШКМ-01-КМД;;;;7.12;;Не было в этом периоде;;;
2021-01-24;;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;"Опора анкерная (концевая) АО10Г-1УМ Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Установка разъединителя";021811;1.0;;0.9981565464866158;;;;
;;Шпилька по чертежу ШКМ-1 М12х100.09Г2С-12.бп ШКМ-01-КМД;;;;3.56;;Не было в этом периоде;;;
2021-01-24;;ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ ООО;"Опора анкерная угловая с устройством ответвления АУ10ГИ-2 Проект: ОЭМЗ-ОГП-ТП.ВЛЗ.010.001 ;";021389;1.0;;0.8843373457746077;;;;
;;Лист 5 ГОСТ 19903-2015 С345-5 ГОСТ 27772-2015;;;;1.910000000000068;;Не было в этом периоде;2021-02-14;;
;;Лист 16 ГОСТ 19903-2015 С345-5 ГОСТ 27772-2015;;;;25.95;;Не было в этом периоде;2021-02-14;;
;;Труба 219х10 ГОСТ 8732-78 С345-5 ГОСТ 27772-2015;;;;125.994;;;;;
2021-01-24;;ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ ООО;"Опора анкерная угловая с устройством ответвления АУ10ГИ-2 Проект: ОЭМЗ-ОГП-ТП.ВЛЗ.010.001 ;";021384;1.0;;0.8857732243970062;;;;
;;Лист 16 ГОСТ 19903-2015 С345-5 ГОСТ 27772-2015;;;;51.9;;Не было в этом периоде;2021-02-14;;
;;Труба 219х10 ГОСТ 8732-78 С345-5 ГОСТ 27772-2015;;;;251.988;;;;;
2021-01-24;2021-01-24 00:00:00;СКН ООО;Анкерно-угловая опора У110-2 Проект: 3078тм 1683_1059ПЭ-37- ПП-ВЛ110.7.000-ТХ-01-ОЛ-007;022130;1.0;;0.7660140774255302;;;;
;;Уголок 160х160х12 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;3017.87;;Не было в этом периоде;;;
;;Уголок 160х160х16 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;8293.13;;Не было в этом периоде;2021-02-14;;
2021-01-25;;Омский ЭМЗ;Изготовление упаковки (стяжки) на февраль 2021 г. (письмо Бейсембаева Д. от 22.01.21 г.);1011;1.0;;0.0;;;;
;;Лист 4 ГОСТ 19903-2015 ст3 ГОСТ 380-2005;;;;3645.3759999999997;;Не было в этом периоде;;;
;;Труба профильная 180х140х6 ГОСТ 30245-94 ст3 ГОСТ 380-2005;;;;1194.889;;Не было в этом периоде;;;
;;Шпилька по чертежу 16х1000.ст3.ГЦ Ст-2019-06;;;;750.5;;Не было в этом периоде;;;
2021-01-26;;СКН ООО;Анкерно-угловая опора У110-2+5 Проект: 3078тм 1683_1059ПЭ- 37-ПП-ВЛ110.7.000-ТХ-01-ОЛ-008;022134;1.0;;0.7347737149862597;;;;
;;Уголок 50х50х4 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;86.022;;Не было в этом периоде;2021-02-14;;
;;Уголок 160х160х10 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;77.273;;Не было в этом периоде;2021-02-14;;
;;Уголок 160х160х12 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;1519.2939999999999;;Не было в этом периоде;;;
;;Уголок 160х160х16 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;1667.694;;Не было в этом периоде;2021-02-14;;
2021-01-26;;СКН ООО;Анкерно-угловая опора У110-2+9 Проект: 3078тм 1683_1059ПЭ-37-Р-ВЛ110.7.000-КС-01-ОЛ-009;022125;1.0;;0.9034723971114541;;;;
;;Лист 16 ГОСТ 19903-2015 09Г2С-12 ГОСТ 19281-2014;;;;275.505;;Не было в этом периоде;2021-02-14;;
;;Лист 25 ГОСТ 19903-2015 09Г2С-12 ГОСТ 19281-2014;;;;207.792;;Не было в этом периоде;2021-02-14;;
;;Уголок 50х50х4 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;90.323;;Не было в этом периоде;2021-02-14;;
;;Уголок 160х160х10 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;483.2869999999997;;Не было в этом периоде;2021-02-14;;
;;Уголок 80х80х7 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;155.435;;Не было в этом периоде;;;
2021-01-26;;СКН ООО;Анкерно-угловая опора УС110-3 Проект: 3079тм 1683_1059ПЭ-37-Р-ВЛ110.7.000-КС-01-ОЛ-011;022161;1.0;;0.8696313832470648;;;;
;;Лист 16 ГОСТ 19903-2015 09Г2С-12 ГОСТ 19281-2014;;;;428.236;;Не было в этом периоде;2021-02-14;;
;;Уголок 70х70х6 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;440.0759999999986;;Не было в этом периоде;2021-02-14;;
;;Уголок 50х50х4 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;344.086;;Не было в этом периоде;2021-02-14;;
;;Уголок 70х70х7 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;282.82599999999996;;Не было в этом периоде;;;
2021-01-27;;СЛАВНЕФТЬ-КРАСНОЯРСКНЕФТЕГАЗ ООО;"Анкерно-угловая опора У35-2+5 Проект: 3078тм ; Кронштейн ВОЛС УК(У)-125 ТУ 3449-001-47533072";022367;1.0;;0.5954341429585356;;;;
;;Лист 16 ГОСТ 19903-2015 09Г2С-12 ГОСТ 19281-2014;;;;1192.208;;Не было в этом периоде;2021-02-14;;
;;Лист 10 ГОСТ 19903-2015 09Г2С-12 ГОСТ 19281-2014;;;;2106.9689999999987;;Не было в этом периоде;;;
;;Уголок 70х70х6 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;8365.88;;Не было в этом периоде;2021-02-14;;
;;Уголок 125х125х9 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;5320.7119999999995;;Не было в этом периоде;2021-02-14;;
;;Уголок 80х80х6 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;386.2619999999997;;Не было в этом периоде;2021-02-14;;
;;Уголок 160х160х10 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;4539.272;;Не было в этом периоде;2021-02-14;;
2021-01-27;;СЛАВНЕФТЬ-КРАСНОЯРСКНЕФТЕГАЗ ООО;"Анкерно-угловая опора У35-1 Проект: 3078тм ; Кронштейн ВОЛС УК(У)-125 ТУ 3449-001-47533072-2";022383;1.0;;0.3189982555087669;;2021-02-14;;
;;Лист 16 ГОСТ 19903-2015 09Г2С-12 ГОСТ 19281-2014;;;;776.808;;Не было в этом периоде;2021-02-14;;
;;Уголок 70х70х6 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;2576.86;;Не было в этом периоде;2021-02-14;;
;;Уголок 63х63х5 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;3529.6919999999946;;Не было в этом периоде;2021-02-14;;
;;Уголок 80х80х6 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;1077.12;;Не было в этом периоде;2021-02-14;;
2021-01-27;;СЛАВНЕФТЬ-КРАСНОЯРСКНЕФТЕГАЗ ООО;"Анкерно-угловая опора У35-2т+5 Проект: 3078тм ; Кронштейн ВОЛС УК(У)-125 ТУ 3449-001-4753307";022359;1.0;;0.7090848116885555;;2021-02-14;;
;;Лист 16 ГОСТ 19903-2015 09Г2С-12 ГОСТ 19281-2014;;;;173.93900000000002;;Не было в этом периоде;2021-02-14;;
;;Уголок 70х70х6 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;1045.735;;Не было в этом периоде;2021-02-14;;
;;Уголок 125х125х9 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;169.15600000000012;;Не было в этом периоде;2021-02-14;;
;;Уголок 50х50х4 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;65.854;;Не было в этом периоде;2021-02-14;;
;;Уголок 160х160х10 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;567.409;;Не было в этом периоде;2021-02-14;;
2021-01-28;;НОВА ООО;"Комплектная поставка: Опора анкерная АО35ГИ-1 для изолированного провода; Подвеска натяжная";022385;1.0;;0.46866649437725805;;;;
;;Лист 10 ГОСТ 19903-2015 С345-6 ГОСТ 27772-2015;;;;555.3240000000001;;Не было в этом периоде;;;
;;Лист 16 ГОСТ 19903-2015 С345-6 ГОСТ 27772-2015;;;;453.464;;Не было в этом периоде;2021-02-14;;
;;Лист 5 ГОСТ 19903-2015 С345-6 ГОСТ 27772-2015;;;;92.20200000000001;;Не было в этом периоде;2021-02-14;;
;;Уголок 100х100х8 ГОСТ 8509-93 С345-6 ГОСТ 27772-2015;;;;1765.306;;Не было в этом периоде;2021-02-14;;
;;Уголок 125х125х8 ГОСТ 8509-93 С345-6 ГОСТ 27772-2015;;;;5332.962;;Не было в этом периоде;;;
;;Уголок 63х63х5 ГОСТ 8509-93 С345-6 ГОСТ 27772-2015;;;;957.308;;Не было в этом периоде;2021-02-14;;
;;Уголок 45х45х4 ГОСТ 8509-93 С345-6 ГОСТ 27772-2015;;;;3388.9800000000005;;Не было в этом периоде;2021-02-14;;
2021-01-29;;СЛАВНЕФТЬ-КРАСНОЯРСКНЕФТЕГАЗ ООО;"Анкерно-угловая опора У35-2+5 Проект: 3078тм ; Кронштейн ВОЛС УК(У)-125 ТУ 3449-001-47533072";022373;1.0;;0.17550843758608714;;;;
;;Лист 16 ГОСТ 19903-2015 09Г2С-12 ГОСТ 19281-2014;;;;745.13;;Не было в этом периоде;2021-02-14;;
;;Лист 10 ГОСТ 19903-2015 09Г2С-12 ГОСТ 19281-2014;;;;1864.54;;Не было в этом периоде;;;
;;Уголок 70х70х6 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;5228.675;;Не было в этом периоде;2021-02-14;;
;;Уголок 110х110х8 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;2123.210000000004;;Не было в этом периоде;2021-02-14;;
;;Уголок 140х140х9 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;3946.69;;Не было в этом периоде;2021-02-14;;
;;Уголок 63х63х5 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;6729.53;;Не было в этом периоде;2021-02-14;;
;;Уголок 125х125х9 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;3325.445;;Не было в этом периоде;2021-02-14;;
;;Уголок 80х80х6 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;1108.795;;Не было в этом периоде;2021-02-14;;
;;Уголок 160х160х10 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;2837.045;;Не было в этом периоде;2021-02-14;;
2021-01-29;;СЛАВНЕФТЬ-КРАСНОЯРСКНЕФТЕГАЗ ООО;"Анкерно-угловая опора У35-2+5 Проект: 3078тм ; Кронштейн ВОЛС УК(У)-125 ТУ 3449-001-47533072";022377;1.0;;0.08499713072590043;;;;
;;Лист 16 ГОСТ 19903-2015 09Г2С-12 ГОСТ 19281-2014;;;;447.07800000000003;;Не было в этом периоде;2021-02-14;;
;;Лист 10 ГОСТ 19903-2015 09Г2С-12 ГОСТ 19281-2014;;;;1118.724;;Не было в этом периоде;;;
;;Уголок 70х70х6 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;3137.205;;Не было в этом периоде;2021-02-14;;
;;Уголок 110х110х8 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;3112.212;;Не было в этом периоде;2021-02-14;;
;;Уголок 140х140х9 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;2368.014;;Не было в этом периоде;2021-02-14;;
;;Уголок 63х63х5 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;4037.718;;Не было в этом периоде;2021-02-14;;
;;Уголок 125х125х9 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;1995.267;;Не было в этом периоде;2021-02-14;;
;;Уголок 80х80х6 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;665.2769999999999;;Не было в этом периоде;2021-02-14;;
;;Уголок 160х160х10 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;1702.227;;Не было в этом периоде;;;
2021-01-29;;СЛАВНЕФТЬ-КРАСНОЯРСКНЕФТЕГАЗ ООО;"Анкерно-угловая опора У35-2+5 Проект: 3078тм ; Кронштейн ВОЛС УК(У)-125 ТУ 3449-001-47533072";022379;1.0;;0.08499713072590054;;;;
;;Лист 16 ГОСТ 19903-2015 09Г2С-12 ГОСТ 19281-2014;;;;298.052;;Не было в этом периоде;2021-02-14;;
;;Лист 10 ГОСТ 19903-2015 09Г2С-12 ГОСТ 19281-2014;;;;745.816;;Не было в этом периоде;;;
;;Уголок 70х70х6 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;2091.47;;Не было в этом периоде;2021-02-14;;
;;Уголок 110х110х8 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;2074.808;;Не было в этом периоде;2021-02-14;;
;;Уголок 140х140х9 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;1578.6760000000002;;Не было в этом периоде;2021-02-14;;
;;Уголок 63х63х5 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;2691.812;;Не было в этом периоде;2021-02-14;;
;;Уголок 125х125х9 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;1330.1779999999999;;Не было в этом периоде;2021-02-14;;
;;Уголок 80х80х6 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;443.51800000000003;;Не было в этом периоде;2021-02-14;;
;;Уголок 160х160х10 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;1134.818;;Не было в этом периоде;;;
2021-01-29;;СЛАВНЕФТЬ-КРАСНОЯРСКНЕФТЕГАЗ ООО;"Анкерно-угловая опора У35-2+5 Проект: 3078тм ; Кронштейн ВОЛС УК(У)-125 ТУ 3449-001-47533072";022362;1.0;;0.3422787723199614;;;;
;;Лист 16 ГОСТ 19903-2015 09Г2С-12 ГОСТ 19281-2014;;;;298.052;;Не было в этом периоде;2021-02-14;;
;;Лист 10 ГОСТ 19903-2015 09Г2С-12 ГОСТ 19281-2014;;;;745.816;;Не было в этом периоде;;;
;;Уголок 70х70х6 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;2091.47;;Не было в этом периоде;2021-02-14;;
;;Уголок 140х140х9 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;169.88800000000128;;Не было в этом периоде;2021-02-14;;
;;Уголок 63х63х5 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;2691.812;;Не было в этом периоде;2021-02-14;;
;;Уголок 125х125х9 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;1330.1779999999999;;Не было в этом периоде;2021-02-14;;
;;Уголок 80х80х6 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;443.51800000000003;;Не было в этом периоде;2021-02-14;;
;;Уголок 160х160х10 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;;;;1134.818;;Не было в этом периоде;2021-02-14;;
2021-01-30;;НОВА ООО;"Комплектная поставка: Опора анкерная угловая АУО10ГИ-1М для изолированного провода; Подвеска";022386;1.0;;0.5531257925979546;;;;
;;Лист 10 ГОСТ 19903-2015 С345-6 ГОСТ 27772-2015;;;;747.78;;Не было в этом периоде;;;
;;Уголок 90х90х7 ГОСТ 8509-93 С345-6 ГОСТ 27772-2015;;;;844.5999999999983;;Не было в этом периоде;2021-02-14;;
;;Уголок 110х110х8 ГОСТ 8509-93 С345-6 ГОСТ 27772-2015;;;;4680.0;;Не было в этом периоде;2021-02-14;;
