Номер победы	Партия	Дата запуска	Код	Номенклатура	Количество в заказе	Перемещено	Дефицит	Обеспечена МП	Обеспечена метизы	Пометка удаления	Заказчик	Спецификация	Изделие
921922	1	27.01.2020	11291	Уголок 110х110х8 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014	1 938,6	1 777	161,6	Да	Нет	Нет	ИНТЭКО ООО	№102/12-19, Спецификация №  1 от 23.12.2019	921922//Опора промежуточная ПГ220-4 Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001
921922	1	27.01.2020	11292	Уголок 90х90х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 27772-2015		351	-351	Да	Нет	Нет	ИНТЭКО ООО	№102/12-19, Спецификация №  1 от 23.12.2019	921922//Опора промежуточная ПГ220-4 Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001
921922	1	27.01.2020	12038	Уголок 140х140х9 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014	2 704,45333333	2 705	-0,54666667	Да	Нет	Нет	ИНТЭКО ООО	№102/12-19, Спецификация №  1 от 23.12.2019	921922//Опора промежуточная ПГ220-4 Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001
921922	1	27.01.2020	12146	Уголок 63х63х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014	1 982,92903226	1 972	10,92903226	Да	Нет	Нет	ИНТЭКО ООО	№102/12-19, Спецификация №  1 от 23.12.2019	921922//Опора промежуточная ПГ220-4 Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001
921922	1	27.01.2020	15136	Уголок 80х80х6 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014	451,22608696	452	-0,77391304	Да	Нет	Нет	ИНТЭКО ООО	№102/12-19, Спецификация №  1 от 23.12.2019	921922//Опора промежуточная ПГ220-4 Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001
921922	1	27.01.2020	15193	Уголок 45х45х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014	131,63870968	132	-0,36129032	Да	Нет	Нет	ИНТЭКО ООО	№102/12-19, Спецификация №  1 от 23.12.2019	921922//Опора промежуточная ПГ220-4 Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001
921922	1	27.01.2020	15476	Уголок 25х25х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014	23,92258065	24	-0,07741935	Да	Нет	Нет	ИНТЭКО ООО	№102/12-19, Спецификация №  1 от 23.12.2019	921922//Опора промежуточная ПГ220-4 Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001
921922	1	27.01.2020	13501	Швеллер 12 П ГОСТ 8240-89 09Г2С-12 ГОСТ 19281-2014	12,13333333		12,13333333	Да	Нет	Нет	ИНТЭКО ООО	№102/12-19, Спецификация №  1 от 23.12.2019	921922//Опора промежуточная ПГ220-4 Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001
921922	1	27.01.2020	00-00000512	Уголок 90х90х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014	383,02666667		383,02666667	Да	Нет	Нет	ИНТЭКО ООО	№102/12-19, Спецификация №  1 от 23.12.2019	921922//Опора промежуточная ПГ220-4 Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001
921923	1	30.01.2020	11280	Лист 20 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014	737,66233766	738	-0,33766234	Нет	Нет	Нет	ИНТЭКО ООО	№102/12-19, Спецификация №  1 от 23.12.2019	921923//Фундамент ФС.720.2.L.S. Проект: ОЭМЗ-КР-ТП.ФС.35/110/220.001
921923	1	30.01.2020	11726	Лист 12 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014	323,67816092	324	-0,32183908	Нет	Нет	Нет	ИНТЭКО ООО	№102/12-19, Спецификация №  1 от 23.12.2019	921923//Фундамент ФС.720.2.L.S. Проект: ОЭМЗ-КР-ТП.ФС.35/110/220.001
921924	1	30.01.2020	17548	Труба 720х10 ГОСТ 10704-91 09Г2С-12 ГОСТ 19281-2014	4 669,16	4 669,16		Да	Нет	Нет	ИНТЭКО ООО	№102/12-19, Спецификация №  1 от 23.12.2019	921924//Труба   720х10 L=6 м. ГОСТ 10704-91
922005	1	29.12.2019	4440	Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75	0,04444444		0,04444444	Да	Нет	Нет	ТАМАРА ООО ТД	20/03-19, Спецификация №  5 от 13.12.2019	922005//Анкерно-угловая опора У110-2 Проект: 3078тм фундамент в поставку не входит
922005	1	29.12.2019	11267	Лист 16 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014	373,76470588		373,76470588	Да	Нет	Нет	ТАМАРА ООО ТД	20/03-19, Спецификация №  5 от 13.12.2019	922005//Анкерно-угловая опора У110-2 Проект: 3078тм фундамент в поставку не входит
922005	1	29.12.2019	11269	Лист 8 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014	134,38117647		134,38117647	Да	Нет	Нет	ТАМАРА ООО ТД	20/03-19, Спецификация №  5 от 13.12.2019	922005//Анкерно-угловая опора У110-2 Проект: 3078тм фундамент в поставку не входит
922005	1	29.12.2019	12986	Лист 25 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014	381,50649351		381,50649351	Да	Нет	Нет	ТАМАРА ООО ТД	20/03-19, Спецификация №  5 от 13.12.2019	922005//Анкерно-угловая опора У110-2 Проект: 3078тм фундамент в поставку не входит
922005	1	29.12.2019	14979	Лист 6 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014	11,07272727		11,07272727	Да	Нет	Нет	ТАМАРА ООО ТД	20/03-19, Спецификация №  5 от 13.12.2019	922005//Анкерно-угловая опора У110-2 Проект: 3078тм фундамент в поставку не входит
922005	1	29.12.2019	15205	Лист 10 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014	608,32		608,32	Да	Нет	Нет	ТАМАРА ООО ТД	20/03-19, Спецификация №  5 от 13.12.2019	922005//Анкерно-угловая опора У110-2 Проект: 3078тм фундамент в поставку не входит
922005	1	29.12.2019	11275	Уголок 70х70х6 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014	4 926,75652174		4 926,75652174	Да	Нет	Нет	ТАМАРА ООО ТД	20/03-19, Спецификация №  5 от 13.12.2019	922005//Анкерно-угловая опора У110-2 Проект: 3078тм фундамент в поставку не входит
922005	1	29.12.2019	11291	Уголок 110х110х8 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014	561,6		561,6	Да	Нет	Нет	ТАМАРА ООО ТД	20/03-19, Спецификация №  5 от 13.12.2019	922005//Анкерно-угловая опора У110-2 Проект: 3078тм фундамент в поставку не входит
922005	1	29.12.2019	11292	Уголок 90х90х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 27772-2015	2 848,29777778		2 848,29777778	Да	Нет	Нет	ТАМАРА ООО ТД	20/03-19, Спецификация №  5 от 13.12.2019	922005//Анкерно-угловая опора У110-2 Проект: 3078тм фундамент в поставку не входит
922005	1	29.12.2019	15135	Уголок 50х50х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014	360,40860215		360,40860215	Да	Нет	Нет	ТАМАРА ООО ТД	20/03-19, Спецификация №  5 от 13.12.2019	922005//Анкерно-угловая опора У110-2 Проект: 3078тм фундамент в поставку не входит
922005	1	29.12.2019	15136	Уголок 80х80х6 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014	1 112,95652174		1 112,95652174	Да	Нет	Нет	ТАМАРА ООО ТД	20/03-19, Спецификация №  5 от 13.12.2019	922005//Анкерно-угловая опора У110-2 Проект: 3078тм фундамент в поставку не входит
922005	1	29.12.2019	15165	Уголок 160х160х10 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014	2 206,84545455		2 206,84545455	Да	Нет	Нет	ТАМАРА ООО ТД	20/03-19, Спецификация №  5 от 13.12.2019	922005//Анкерно-угловая опора У110-2 Проект: 3078тм фундамент в поставку не входит
922005	1	29.12.2019	15232	Уголок 140х140х10 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014	2 220,70588235		2 220,70588235	Да	Нет	Нет	ТАМАРА ООО ТД	20/03-19, Спецификация №  5 от 13.12.2019	922005//Анкерно-угловая опора У110-2 Проект: 3078тм фундамент в поставку не входит
922025	1	10.02.2020	4440	Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75	0,02222222		0,02222222	Нет	Нет	Нет	ТАВРИДА ЭЛЕКТРИК ОМСК ООО	02/01-16 от 18.01.2016, Спецификация №80 от 18.12.2019	922025//Портал   ПС-35.1 Проект: 3.407.2-162 с дополнительной стойкой ТС-15С и траверсой ТС-1С
922025	1	10.02.2020	11269	Лист 8 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014	12,37176471		12,37176471	Нет	Нет	Нет	ТАВРИДА ЭЛЕКТРИК ОМСК ООО	02/01-16 от 18.01.2016, Спецификация №80 от 18.12.2019	922025//Портал   ПС-35.1 Проект: 3.407.2-162 с дополнительной стойкой ТС-15С и траверсой ТС-1С
922025	1	10.02.2020	14979	Лист 6 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014	16,35		16,35	Нет	Нет	Нет	ТАВРИДА ЭЛЕКТРИК ОМСК ООО	02/01-16 от 18.01.2016, Спецификация №80 от 18.12.2019	922025//Портал   ПС-35.1 Проект: 3.407.2-162 с дополнительной стойкой ТС-15С и траверсой ТС-1С
922025	1	10.02.2020	11270	Лист 4 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014	28,40430108		28,40430108	Нет	Нет	Нет	ТАВРИДА ЭЛЕКТРИК ОМСК ООО	02/01-16 от 18.01.2016, Спецификация №80 от 18.12.2019	922025//Портал   ПС-35.1 Проект: 3.407.2-162 с дополнительной стойкой ТС-15С и траверсой ТС-1С
922025	1	10.02.2020	11275	Уголок 70х70х6 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014	38,33478261		38,33478261	Нет	Нет	Нет	ТАВРИДА ЭЛЕКТРИК ОМСК ООО	02/01-16 от 18.01.2016, Спецификация №80 от 18.12.2019	922025//Портал   ПС-35.1 Проект: 3.407.2-162 с дополнительной стойкой ТС-15С и траверсой ТС-1С
922025	1	10.02.2020	12146	Уголок 63х63х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014	383,99139785		383,99139785	Нет	Нет	Нет	ТАВРИДА ЭЛЕКТРИК ОМСК ООО	02/01-16 от 18.01.2016, Спецификация №80 от 18.12.2019	922025//Портал   ПС-35.1 Проект: 3.407.2-162 с дополнительной стойкой ТС-15С и траверсой ТС-1С
922025	1	10.02.2020	15428	Уголок 35х35х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014	453,80645161		453,80645161	Нет	Нет	Нет	ТАВРИДА ЭЛЕКТРИК ОМСК ООО	02/01-16 от 18.01.2016, Спецификация №80 от 18.12.2019	922025//Портал   ПС-35.1 Проект: 3.407.2-162 с дополнительной стойкой ТС-15С и траверсой ТС-1С
922025	1	10.02.2020	00-00000512	Уголок 90х90х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014	917,08		917,08	Нет	Нет	Нет	ТАВРИДА ЭЛЕКТРИК ОМСК ООО	02/01-16 от 18.01.2016, Спецификация №80 от 18.12.2019	922025//Портал   ПС-35.1 Проект: 3.407.2-162 с дополнительной стойкой ТС-15С и траверсой ТС-1С
921398	1	29.12.2019	4440	Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75	0,02222222		0,02222222	Да	Нет	Нет	РН-СНАБЖЕНИЕ ООО	Договор № 7363319/1409Д от 23.09.2019, приложение № 1 от 23.09.19г.	921398//Анкерно-угловая опора У110-2+14 Проект: 3078тм 1В06_ОЛ2902_31-010401_16.06.2018
921398	1	29.12.2019	13978	Лист 10 ГОСТ 19903-74 С345-5 ГОСТ 27772-2015	781,60470588	705	76,60470588	Да	Нет	Нет	РН-СНАБЖЕНИЕ ООО	Договор № 7363319/1409Д от 23.09.2019, приложение № 1 от 23.09.19г.	921398//Анкерно-угловая опора У110-2+14 Проект: 3078тм 1В06_ОЛ2902_31-010401_16.06.2018
921398	1	29.12.2019	13994	Лист 6 ГОСТ 19903-74 С345-5 ГОСТ 27772-2015	5,53636364		5,53636364	Да	Нет	Нет	РН-СНАБЖЕНИЕ ООО	Договор № 7363319/1409Д от 23.09.2019, приложение № 1 от 23.09.19г.	921398//Анкерно-угловая опора У110-2+14 Проект: 3078тм 1В06_ОЛ2902_31-010401_16.06.2018
921398	1	29.12.2019	13979	Лист 8 ГОСТ 19903-74 С345-5 ГОСТ 27772-2015	130,04235294	131	-0,95764706	Да	Нет	Нет	РН-СНАБЖЕНИЕ ООО	Договор № 7363319/1409Д от 23.09.2019, приложение № 1 от 23.09.19г.	921398//Анкерно-угловая опора У110-2+14 Проект: 3078тм 1В06_ОЛ2902_31-010401_16.06.2018
921398	1	29.12.2019	14027	Лист 16 ГОСТ 19903-74 С345-5 ГОСТ 27772-2015	210,49411765	203	7,49411765	Да	Нет	Нет	РН-СНАБЖЕНИЕ ООО	Договор № 7363319/1409Д от 23.09.2019, приложение № 1 от 23.09.19г.	921398//Анкерно-угловая опора У110-2+14 Проект: 3078тм 1В06_ОЛ2902_31-010401_16.06.2018
921398	1	29.12.2019	14543	Лист 25 ГОСТ 19903-74 С345-5 ГОСТ 27772-2015	206,44675325	207	-0,55324675	Да	Нет	Нет	РН-СНАБЖЕНИЕ ООО	Договор № 7363319/1409Д от 23.09.2019, приложение № 1 от 23.09.19г.	921398//Анкерно-угловая опора У110-2+14 Проект: 3078тм 1В06_ОЛ2902_31-010401_16.06.2018
921398	1	29.12.2019	15842	Уголок 140х140х10 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015	1 110,35294118	1 111	-0,64705882	Да	Нет	Нет	РН-СНАБЖЕНИЕ ООО	Договор № 7363319/1409Д от 23.09.2019, приложение № 1 от 23.09.19г.	921398//Анкерно-угловая опора У110-2+14 Проект: 3078тм 1В06_ОЛ2902_31-010401_16.06.2018
921398	1	29.12.2019	17536	Уголок 50х50х4 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015	83,69032258	84	-0,30967742	Да	Нет	Нет	РН-СНАБЖЕНИЕ ООО	Договор № 7363319/1409Д от 23.09.2019, приложение № 1 от 23.09.19г.	921398//Анкерно-угловая опора У110-2+14 Проект: 3078тм 1В06_ОЛ2902_31-010401_16.06.2018
921398	1	29.12.2019	17846	Уголок 180х180х11 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015	2 037,54352941	1 810	227,54352941	Да	Нет	Нет	РН-СНАБЖЕНИЕ ООО	Договор № 7363319/1409Д от 23.09.2019, приложение № 1 от 23.09.19г.	921398//Анкерно-угловая опора У110-2+14 Проект: 3078тм 1В06_ОЛ2902_31-010401_16.06.2018
921398	1	29.12.2019	14546	Уголок 63х63х5 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015	393,78494624	394	-0,21505376	Да	Нет	Нет	РН-СНАБЖЕНИЕ ООО	Договор № 7363319/1409Д от 23.09.2019, приложение № 1 от 23.09.19г.	921398//Анкерно-угловая опора У110-2+14 Проект: 3078тм 1В06_ОЛ2902_31-010401_16.06.2018
921398	1	29.12.2019	14541	Уголок 90х90х7 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015	3 004,24666667	2 250	754,24666667	Да	Нет	Нет	РН-СНАБЖЕНИЕ ООО	Договор № 7363319/1409Д от 23.09.2019, приложение № 1 от 23.09.19г.	921398//Анкерно-угловая опора У110-2+14 Проект: 3078тм 1В06_ОЛ2902_31-010401_16.06.2018
921398	1	29.12.2019	14573	Уголок 70х70х6 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015	2 402,98695652	2 403	-0,01304348	Да	Нет	Нет	РН-СНАБЖЕНИЕ ООО	Договор № 7363319/1409Д от 23.09.2019, приложение № 1 от 23.09.19г.	921398//Анкерно-угловая опора У110-2+14 Проект: 3078тм 1В06_ОЛ2902_31-010401_16.06.2018
921398	1	29.12.2019	14963	Уголок 140х140х9 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015	2 062,63777778	1 875	187,63777778	Да	Нет	Нет	РН-СНАБЖЕНИЕ ООО	Договор № 7363319/1409Д от 23.09.2019, приложение № 1 от 23.09.19г.	921398//Анкерно-угловая опора У110-2+14 Проект: 3078тм 1В06_ОЛ2902_31-010401_16.06.2018
921398	1	29.12.2019	14964	Уголок 80х80х6 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015	629,1173913	630	-0,8826087	Да	Нет	Нет	РН-СНАБЖЕНИЕ ООО	Договор № 7363319/1409Д от 23.09.2019, приложение № 1 от 23.09.19г.	921398//Анкерно-угловая опора У110-2+14 Проект: 3078тм 1В06_ОЛ2902_31-010401_16.06.2018
921398	1	29.12.2019	14967	Уголок 110х110х8 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015	1 979,1	1 803	176,1	Да	Нет	Нет	РН-СНАБЖЕНИЕ ООО	Договор № 7363319/1409Д от 23.09.2019, приложение № 1 от 23.09.19г.	921398//Анкерно-угловая опора У110-2+14 Проект: 3078тм 1В06_ОЛ2902_31-010401_16.06.2018
921398	1	29.12.2019	14968	Уголок 160х160х10 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015	1 103,42272727	895	208,42272727	Да	Нет	Нет	РН-СНАБЖЕНИЕ ООО	Договор № 7363319/1409Д от 23.09.2019, приложение № 1 от 23.09.19г.	921398//Анкерно-угловая опора У110-2+14 Проект: 3078тм 1В06_ОЛ2902_31-010401_16.06.2018
921751	1	08.02.2020	11289	Лист 5 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014	10,58139535		10,58139535	Нет	Нет	Нет	РН-СНАБЖЕНИЕ ООО	7363319/1670Д, Спецификация №  1 от 02.11.2019	"921751//Установка разъединителя и кабельной муфты на опорах анкерных концевых 
АО10Г-1М и АО10Г-1УМ"
921751	1	08.02.2020	14979	Лист 6 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014	8,19545455		8,19545455	Нет	Нет	Нет	РН-СНАБЖЕНИЕ ООО	7363319/1670Д, Спецификация №  1 от 02.11.2019	"921751//Установка разъединителя и кабельной муфты на опорах анкерных концевых 
АО10Г-1М и АО10Г-1УМ"
921751	1	08.02.2020	11270	Лист 4 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014	26,19354839	26,374	-0,18045161	Нет	Нет	Нет	РН-СНАБЖЕНИЕ ООО	7363319/1670Д, Спецификация №  1 от 02.11.2019	"921751//Установка разъединителя и кабельной муфты на опорах анкерных концевых 
АО10Г-1М и АО10Г-1УМ"
921751	1	08.02.2020	11278	Уголок 50х50х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014	82,04731183		82,04731183	Нет	Нет	Нет	РН-СНАБЖЕНИЕ ООО	7363319/1670Д, Спецификация №  1 от 02.11.2019	"921751//Установка разъединителя и кабельной муфты на опорах анкерных концевых 
АО10Г-1М и АО10Г-1УМ"
921751	1	08.02.2020	11286	Уголок 75х75х6 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014	39,54782609		39,54782609	Нет	Нет	Нет	РН-СНАБЖЕНИЕ ООО	7363319/1670Д, Спецификация №  1 от 02.11.2019	"921751//Установка разъединителя и кабельной муфты на опорах анкерных концевых 
АО10Г-1М и АО10Г-1УМ"
921752	1	08.02.2020	4440	Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75	0,57777778		0,57777778	Нет	Нет	Нет	РН-СНАБЖЕНИЕ ООО	7363319/1670Д, Спецификация №  1 от 02.11.2019	"921752//Опора промежуточная П10Г-8М Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Фундамент ФС.325.2.L.S Проект:"
921752	1	08.02.2020	11267	Лист 16 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014	1 412,53411765	1 000	412,53411765	Нет	Нет	Нет	РН-СНАБЖЕНИЕ ООО	7363319/1670Д, Спецификация №  1 от 02.11.2019	"921752//Опора промежуточная П10Г-8М Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Фундамент ФС.325.2.L.S Проект:"
921752	1	08.02.2020	11269	Лист 8 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014	264,52705882	264,524	0,00305882	Нет	Нет	Нет	РН-СНАБЖЕНИЕ ООО	7363319/1670Д, Спецификация №  1 от 02.11.2019	"921752//Опора промежуточная П10Г-8М Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Фундамент ФС.325.2.L.S Проект:"
921752	1	08.02.2020	11271	Лист 3 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014	1 406,68210526		1 406,68210526	Нет	Нет	Нет	РН-СНАБЖЕНИЕ ООО	7363319/1670Д, Спецификация №  1 от 02.11.2019	"921752//Опора промежуточная П10Г-8М Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Фундамент ФС.325.2.L.S Проект:"
921752	1	08.02.2020	14979	Лист 6 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014	337,14318182	67,949	269,19418182	Нет	Нет	Нет	РН-СНАБЖЕНИЕ ООО	7363319/1670Д, Спецификация №  1 от 02.11.2019	"921752//Опора промежуточная П10Г-8М Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Фундамент ФС.325.2.L.S Проект:"
921752	1	08.02.2020	15205	Лист 10 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014	244,30823529	244,296	0,01223529	Нет	Нет	Нет	РН-СНАБЖЕНИЕ ООО	7363319/1670Д, Спецификация №  1 от 02.11.2019	"921752//Опора промежуточная П10Г-8М Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Фундамент ФС.325.2.L.S Проект:"
921752	1	08.02.2020	11270	Лист 4 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014	3 893,84946237		3 893,84946237	Нет	Нет	Нет	РН-СНАБЖЕНИЕ ООО	7363319/1670Д, Спецификация №  1 от 02.11.2019	"921752//Опора промежуточная П10Г-8М Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Фундамент ФС.325.2.L.S Проект:"
921752	1	08.02.2020	11265	Круг 16 ГОСТ 2590-88 09Г2С-12 ГОСТ 19281-2014	16,17777778		16,17777778	Нет	Нет	Нет	РН-СНАБЖЕНИЕ ООО	7363319/1670Д, Спецификация №  1 от 02.11.2019	"921752//Опора промежуточная П10Г-8М Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Фундамент ФС.325.2.L.S Проект:"
921752	1	08.02.2020	11262	Труба профильная 100х100х4 ГОСТ 30245-94100 09Г2С-12 ГОСТ 19281-2014	1 071,2		1 071,2	Нет	Нет	Нет	РН-СНАБЖЕНИЕ ООО	7363319/1670Д, Спецификация №  1 от 02.11.2019	"921752//Опора промежуточная П10Г-8М Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Фундамент ФС.325.2.L.S Проект:"
921752	1	08.02.2020	11268	Уголок 32х32х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014	919,50537634		919,50537634	Нет	Нет	Нет	РН-СНАБЖЕНИЕ ООО	7363319/1670Д, Спецификация №  1 от 02.11.2019	"921752//Опора промежуточная П10Г-8М Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Фундамент ФС.325.2.L.S Проект:"
921752	1	08.02.2020	11266	Швеллер 18 У ГОСТ 8240-89 09Г2С-12 ГОСТ 19281-2014	1 020,84210526		1 020,84210526	Нет	Нет	Нет	РН-СНАБЖЕНИЕ ООО	7363319/1670Д, Спецификация №  1 от 02.11.2019	"921752//Опора промежуточная П10Г-8М Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Фундамент ФС.325.2.L.S Проект:"
